Frequency (Hz), Magnitude (dB)
10218.750000, -38.098635
10230.468750, -39.493257
10242.187500, -41.256710
10253.906250, -43.579769
10265.625000, -46.881150
10277.343750, -52.427961
10289.062500, -72.725477
10300.781250, -54.283835
10312.500000, -47.798111
10324.218750, -44.181467
10335.937500, -41.698077
10347.656250, -39.836114
10359.375000, -38.373806
10371.093750, -37.194998
10382.812500, -36.231449
10394.531250, -35.439896
10406.250000, -34.791438
10417.968750, -34.266087
10429.687500, -33.849725
10441.406250, -33.532332
10453.125000, -33.306896
10464.843750, -33.168743
10476.562500, -33.115128
10488.281250, -33.145012
10500.000000, -33.258977
10511.718750, -33.459274
10523.437500, -33.750003
10535.156250, -34.137467
10546.875000, -34.630755
10558.593750, -35.242693
10570.312500, -35.991387
10582.031250, -36.902825
10593.750000, -38.015473
10605.468750, -39.389000
10617.187500, -41.122529
10628.906250, -43.398333
10640.625000, -46.610768
10652.343750, -51.917085
10664.062500, -68.499599
10675.781250, -54.952051
10687.500000, -48.100614
10699.218750, -44.372257
10710.937500, -41.833669
10722.656250, -39.938099
10734.375000, -38.452689
10746.093750, -37.256652
10757.812500, -36.279464
10769.531250, -35.476602
10781.250000, -34.818410
10792.968750, -34.284407
10804.687500, -33.860143
10816.406250, -33.535355
10828.125000, -33.302842
10839.843750, -33.157776
10851.562500, -33.097276
10863.281250, -33.120170
10875.000000, -33.226907
10886.718750, -33.419586
10898.437500, -33.702130
10910.156250, -34.080617
10921.875000, -34.563839
10933.593750, -35.164209
10945.312500, -35.899234
10957.031250, -36.793978
10968.750000, -37.885401
10980.468750, -39.230527
10992.187500, -40.923334
11003.906250, -43.134582
11015.625000, -46.226390
11027.343750, -51.218183
11039.062500, -64.617338
11050.781250, -56.033593
11062.500000, -48.565549
11074.218750, -44.663188
11085.937500, -42.041496
11097.656250, -40.096601
11109.375000, -38.578066
11121.093750, -37.357897
11132.812500, -36.362062
11144.531250, -35.544119
11156.250000, -34.873270
11167.968750, -34.328310
11179.687500, -33.894296
11191.406250, -33.560616
11203.125000, -33.319810
11214.843750, -33.166841
11226.562500, -33.098653
11238.281250, -33.113917
11250.000000, -33.212927
11261.718750, -33.397620
11273.437500, -33.671733
11285.156250, -34.041121
11296.875000, -34.514286
11308.593750, -35.103247
11320.312500, -35.824941
11332.031250, -36.703571
11343.750000, -37.774701
11355.468750, -39.092928
11367.187500, -40.747565
11378.906250, -42.899101
11390.625000, -45.881681
11402.343750, -50.601824
11414.062500, -62.019706
11425.781250, -57.247297
11437.500000, -49.057054
11449.218750, -44.969966
11460.937500, -42.262799
11472.656250, -40.268057
11484.375000, -38.716479
11496.093750, -37.472509
11507.812500, -36.458487
11519.531250, -35.626010
11531.250000, -34.943125
11542.968750, -34.387896
11554.687500, -33.944895
11566.406250, -33.603171
11578.125000, -33.355014
11589.843750, -33.195198
11601.562500, -33.120513
11613.281250, -33.129499
11625.000000, -33.222328
11636.718750, -33.400822
11648.437500, -33.668593
11660.156250, -34.031351
11671.875000, -34.497422
11683.593750, -35.078590
11695.312500, -35.791467
11707.031250, -36.659761
11718.750000, -37.718258
11730.468750, -39.020203
11742.187500, -40.652348
11753.906250, -42.769617
11765.625000, -45.691305
11777.343750, -50.266468
11789.062500, -60.811885
11800.781250, -58.033731
11812.500000, -49.352743
11824.218750, -45.149851
11835.937500, -42.389889
11847.656250, -40.364314
11859.375000, -38.792098
11871.093750, -37.533039
11882.812500, -36.507268
11894.531250, -35.665193
11906.250000, -34.974161
11917.968750, -34.411795
11929.687500, -33.962373
11941.406250, -33.614732
11953.125000, -33.361006
11964.843750, -33.195844
11976.562500, -33.115931
11988.281250, -33.119714
12000.000000, -33.207273
12011.718750, -33.380330
12023.437500, -33.642388
12035.156250, -33.999025
12046.875000, -34.458395
12058.593750, -35.032050
12070.312500, -35.736269
12082.031250, -36.594264
12093.750000, -37.640016
12105.468750, -38.925395
12117.187500, -40.534545
12128.906250, -42.616771
12140.625000, -45.476592
12152.343750, -49.907519
12164.062500, -59.675620
12175.781250, -58.935527
12187.500000, -49.660351
12199.218750, -45.327573
12210.937500, -42.509548
12222.656250, -40.450333
12234.375000, -38.855650
12246.093750, -37.580132
12257.812500, -36.541472
12269.531250, -35.688771
12281.250000, -34.988607
12292.968750, -34.418115
12304.687500, -33.961240
12316.406250, -33.606580
12328.125000, -33.346084
12339.843750, -33.174246
12351.562500, -33.087615
12363.281250, -33.084502
12375.000000, -33.164847
12386.718750, -33.330216
12398.437500, -33.583921
12410.156250, -33.931303
12421.875000, -34.380199
12433.593750, -34.941727
12445.312500, -35.631536
12457.031250, -36.471883
12468.750000, -37.495221
12480.468750, -38.750796
12492.187500, -40.317821
12503.906250, -42.335108
12515.625000, -45.080137
12527.343750, -49.248949
12539.062500, -57.779072
12550.781250, -61.138628
12562.500000, -50.351609
12574.218750, -45.735237
12585.937500, -42.796543
12597.656250, -40.670006
12609.375000, -39.032031
12621.093750, -37.726079
12632.812500, -36.664652
12644.531250, -35.794114
12656.250000, -35.079457
12667.968750, -34.496829
12679.687500, -34.029530
12691.406250, -33.665712
12703.125000, -33.397003
12714.843750, -33.217660
12726.562500, -33.124040
12738.281250, -33.114301
12750.000000, -33.188248
12761.718750, -33.347318
12773.437500, -33.594700
12785.156250, -33.935592
12796.875000, -34.377669
12808.593750, -34.931840
12820.312500, -35.613468
