Frequency (Hz), Magnitude (dB)
11390.625000, 0.015773
11402.343750, 0.012512
11414.062500, 0.009130
11425.781250, 0.005659
11437.500000, 0.002132
11449.218750, -0.001417
11460.937500, -0.004952
11472.656250, -0.008441
11484.375000, -0.011849
11496.093750, -0.015144
11507.812500, -0.018293
11519.531250, -0.021266
11531.250000, -0.024035
11542.968750, -0.026571
11554.687500, -0.028851
11566.406250, -0.030853
11578.125000, -0.032556
11589.843750, -0.033945
11601.562500, -0.035005
11613.281250, -0.035727
11625.000000, -0.036103
11636.718750, -0.036130
11648.437500, -0.035808
11660.156250, -0.035139
11671.875000, -0.034131
11683.593750, -0.032793
11695.312500, -0.031138
11707.031250, -0.029182
11718.750000, -0.026945
11730.468750, -0.024449
11742.187500, -0.021717
11753.906250, -0.018776
11765.625000, -0.015655
11777.343750, -0.012384
11789.062500, -0.008996
11800.781250, -0.005522
11812.500000, -0.001996
11824.218750, 0.001547
11835.937500, 0.005074
11847.656250, 0.008549
11859.375000, 0.011941
11871.093750, 0.015216
11882.812500, 0.018342
11894.531250, 0.021291
11906.250000, 0.024033
11917.968750, 0.026542
11929.687500, 0.028794
11941.406250, 0.030768
11953.125000, 0.032445
11964.843750, 0.033809
11976.562500, 0.034847
11988.281250, 0.035549
12000.000000, 0.035907
12011.718750, 0.035920
12023.437500, 0.035587
12035.156250, 0.034910
12046.875000, 0.033897
12058.593750, 0.032557
12070.312500, 0.030903
12082.031250, 0.028951
12093.750000, 0.026719
12105.468750, 0.024228
12117.187500, 0.021504
12128.906250, 0.018570
12140.625000, 0.015457
12152.343750, 0.012193
12164.062500, 0.008810
12175.781250, 0.005341
12187.500000, 0.001819
12199.218750, -0.001723
12210.937500, -0.005249
12222.656250, -0.008726
12234.375000, -0.012120
12246.093750, -0.015399
12257.812500, -0.018530
12269.531250, -0.021483
12281.250000, -0.024229
12292.968750, -0.026742
12304.687500, -0.028997
12316.406250, -0.030972
12328.125000, -0.032648
12339.843750, -0.034009
12351.562500, -0.035041
12363.281250, -0.035734
12375.000000, -0.036081
12386.718750, -0.036079
12398.437500, -0.035728
12410.156250, -0.035031
12421.875000, -0.033996
12433.593750, -0.032632
12445.312500, -0.030952
12457.031250, -0.028973
12468.750000, -0.026714
12480.468750, -0.024198
12492.187500, -0.021448
12503.906250, -0.018491
12515.625000, -0.015356
12527.343750, -0.012074
12539.062500, -0.008677
12550.781250, -0.005196
12562.500000, -0.001666
12574.218750, 0.001879
12585.937500, 0.005405
12597.656250, 0.008877
12609.375000, 0.012264
12621.093750, 0.015531
12632.812500, 0.018648
12644.531250, 0.021584
12656.250000, 0.024312
12667.968750, 0.026806
12679.687500, 0.029041
12691.406250, 0.030997
12703.125000, 0.032654
12714.843750, 0.033997
12726.562500, 0.035012
12738.281250, 0.035691
12750.000000, 0.036027
12761.718750, 0.036017
12773.437500, 0.035660
12785.156250, 0.034960
12796.875000, 0.033923
12808.593750, 0.032561
12820.312500, 0.030885
12832.031250, 0.028911
12843.750000, 0.026659
12855.468750, 0.024150
12867.187500, 0.021407
12878.906250, 0.018458
12890.625000, 0.015330
12902.343750, 0.012053
12914.062500, 0.008659
12925.781250, 0.005181
12937.500000, 0.001651
12949.218750, -0.001896
12960.937500, -0.005426
12972.656250, -0.008905
12984.375000, -0.012300
12996.093750, -0.015576
13007.812500, -0.018704
13019.531250, -0.021652
13031.250000, -0.024392
13042.968750, -0.026897
13054.687500, -0.029143
13066.406250, -0.031108
13078.125000, -0.032772
13089.843750, -0.034121
13101.562500, -0.035140
13113.281250, -0.035819
13125.000000, -0.036152
13136.718750, -0.036137
13148.437500, -0.035772
13160.156250, -0.035061
13171.875000, -0.034013
13183.593750, -0.032635
13195.312500, -0.030943
13207.031250, -0.028953
13218.750000, -0.026684
13230.468750, -0.024158
13242.187500, -0.021399
13253.906250, -0.018436
13265.625000, -0.015295
13277.343750, -0.012009
13289.062500, -0.008609
13300.781250, -0.005127
13312.500000, -0.001597
13324.218750, 0.001946
13335.937500, 0.005469
13347.656250, 0.008937
13359.375000, 0.012317
13371.093750, 0.015576
13382.812500, 0.018685
13394.531250, 0.021611
13406.250000, 0.024328
13417.968750, 0.026810
13429.687500, 0.029032
13441.406250, 0.030974
13453.125000, 0.032617
13464.843750, 0.033946
13476.562500, 0.034947
13488.281250, 0.035611
13500.000000, 0.035932
13511.718750, 0.035907
13523.437500, 0.035536
13535.156250, 0.034823
13546.875000, 0.033774
13558.593750, 0.032400
13570.312500, 0.030713
13582.031250, 0.028730
13593.750000, 0.026470
13605.468750, 0.023954
13617.187500, 0.021206
13628.906250, 0.018253
13640.625000, 0.015123
