Frequency (Hz), Magnitude (dB)
9609.375000, 0.999266
9621.093750, 1.161300
9632.812500, 1.310098
9644.531250, 1.444887
9656.250000, 1.565008
9667.968750, 1.669903
9679.687500, 1.759108
9691.406250, 1.832248
9703.125000, 1.889023
9714.843750, 1.929208
9726.562500, 1.952648
9738.281250, 1.959254
9750.000000, 1.949001
9761.718750, 1.921927
9773.437500, 1.878136
9785.156250, 1.817800
9796.875000, 1.741159
9808.593750, 1.648529
9820.312500, 1.540305
9832.031250, 1.416970
9843.750000, 1.279104
9855.468750, 1.127392
9867.187500, 0.962632
9878.906250, 0.785752
9890.625000, 0.597817
9902.343750, 0.400043
9914.062500, 0.193807
9925.781250, -0.019341
9937.500000, -0.237670
9949.218750, -0.459265
9960.937500, -0.682024
9972.656250, -0.903664
9984.375000, -1.121734
9996.093750, -1.333638
10007.812500, -1.536669
10019.531250, -1.728049
10031.250000, -1.904989
10042.968750, -2.064754
10054.687500, -2.204740
10066.406250, -2.322556
10078.125000, -2.416106
10089.843750, -2.483673
10101.562500, -2.523982
10113.281250, -2.536259
10125.000000, -2.520267
10136.718750, -2.476310
10148.437500, -2.405226
10160.156250, -2.308345
10171.875000, -2.187437
10183.593750, -2.044636
10195.312500, -1.882366
10207.031250, -1.703251
10218.750000, -1.510036
10230.468750, -1.305512
10242.187500, -1.092450
10253.906250, -0.873549
10265.625000, -0.651388
10277.343750, -0.428397
10289.062500, -0.206838
10300.781250, 0.011209
10312.500000, 0.223851
10324.218750, 0.429379
10335.937500, 0.626266
10347.656250, 0.813154
10359.375000, 0.988846
10371.093750, 1.152293
10382.812500, 1.302586
10394.531250, 1.438938
10406.250000, 1.560679
10417.968750, 1.667241
10429.687500, 1.758151
10441.406250, 1.833023
10453.125000, 1.891552
10464.843750, 1.933503
10476.562500, 1.958715
10488.281250, 1.967091
10500.000000, 1.958599
10511.718750, 1.933271
10523.437500, 1.891203
10535.156250, 1.832559
10546.875000, 1.757571
10558.593750, 1.666545
10570.312500, 1.559869
10582.031250, 1.438015
10593.750000, 1.301551
10605.468750, 1.151148
10617.187500, 0.987593
10628.906250, 0.811797
10640.625000, 0.624810
